Country or Area,M49 code,ISO-alpha3 code
Haiti,332,HTI
Hungary,348,HUN
Indonesia,360,IDN
Isle of Man,833,IMN
India,356,IND
British Indian Ocean Territory,86,IOT
Ireland,372,IRL
Iran (Islamic Republic of),364,IRN
Iraq,368,IRQ
Iceland,352,ISL
Israel,376,ISR
Italy,380,ITA
Jamaica,388,JAM
Jersey,832,JEY
Jordan,400,JOR
Japan,392,JPN
Kazakhstan,398,KAZ
Kenya,404,KEN
Kyrgyzstan,417,KGZ
Cambodia,116,KHM
Kiribati,296,KIR
Saint Kitts and Nevis,659,KNA
Republic of Korea,410,KOR
Kuwait,414,KWT
Lao People's Democratic Republic,418,LAO
Lebanon,422,LBN
Liberia,430,LBR
Libya,434,LBY
Saint Lucia,662,LCA
Liechtenstein,438,LIE
Sri Lanka,144,LKA
Lesotho,426,LSO
Lithuania,440,LTU
Luxembourg,442,LUX
Latvia,428,LVA
"China, Macao Special Administrative Region",446,MAC
Saint Martin (French Part),663,MAF
Morocco,504,MAR
Monaco,492,MCO
Republic of Moldova,498,MDA
Madagascar,450,MDG
Maldives,462,MDV
Mexico,484,MEX
Marshall Islands,584,MHL
North Macedonia,807,MKD
Mali,466,MLI
Malta,470,MLT
Myanmar,104,MMR
Montenegro,499,MNE
Mongolia,496,MNG
Northern Mariana Islands,580,MNP
Mozambique,508,MOZ
Mauritania,478,MRT
Montserrat,500,MSR
Martinique,474,MTQ
Mauritius,480,MUS
Malawi,454,MWI
Malaysia,458,MYS
Mayotte,175,MYT
Namibia,516,NAM
New Caledonia,540,NCL
Niger,562,NER
Norfolk Island,574,NFK
Nigeria,566,NGA
Nicaragua,558,NIC
Niue,570,NIU
Netherlands (Kingdom of the),528,NLD
Norway,578,NOR
Nepal,524,NPL
Nauru,520,NRU
New Zealand,554,NZL
Oman,512,OMN
Pakistan,586,PAK
Panama,591,PAN
Pitcairn,612,PCN
Peru,604,PER
Philippines,608,PHL
Palau,585,PLW
Papua New Guinea,598,PNG
Poland,616,POL
Puerto Rico,630,PRI
Democratic People's Republic of Korea,408,PRK
Portugal,620,PRT
Paraguay,600,PRY
State of Palestine,275,PSE
French Polynesia,258,PYF
Qatar,634,QAT
Réunion,638,REU
Romania,642,ROU
Russian Federation,643,RUS
Rwanda,646,RWA
Saudi Arabia,682,SAU
Sudan,729,SDN
Senegal,686,SEN
Singapore,702,SGP
South Georgia and the South Sandwich Islands,239,SGS
Saint Helena,654,SHN
Svalbard and Jan Mayen Islands,744,SJM
Solomon Islands,90,SLB
Sierra Leone,694,SLE
El Salvador,222,SLV
San Marino,674,SMR
Somalia,706,SOM
Saint Pierre and Miquelon,666,SPM
Serbia,688,SRB
South Sudan,728,SSD
Sao Tome and Principe,678,STP
Suriname,740,SUR
Slovakia,703,SVK
Slovenia,705,SVN
Sweden,752,SWE
Eswatini,748,SWZ
Sint Maarten (Dutch part),534,SXM
Seychelles,690,SYC
Syrian Arab Republic,760,SYR
Turks and Caicos Islands,796,TCA
Chad,148,TCD
Togo,768,TGO
Thailand,764,THA
Tajikistan,762,TJK
Tokelau,772,TKL
Turkmenistan,795,TKM
Timor-Leste,626,TLS
Tonga,776,TON
Trinidad and Tobago,780,TTO
Tunisia,788,TUN
Türkiye,792,TUR
Tuvalu,798,TUV
United Republic of Tanzania,834,TZA
Uganda,800,UGA
Ukraine,804,UKR
United States Minor Outlying Islands,581,UMI
Uruguay,858,URY
United States of America,840,USA
Uzbekistan,860,UZB
Holy See,336,VAT
Saint Vincent and the Grenadines,670,VCT
Venezuela (Bolivarian Republic of),862,VEN
British Virgin Islands,92,VGB
United States Virgin Islands,850,VIR
Viet Nam,704,VNM
Vanuatu,548,VUT
Wallis and Futuna Islands,876,WLF
Samoa,882,WSM
Yemen,887,YEM
South Africa,710,ZAF
Zambia,894,ZMB
Zimbabwe,716,ZWE
